Product Name,Product URL,Image URL,Old Price,Deal Price,Rating,Number of Ratings,Delivery Date
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GPXXNNG/ref=sr_1_23?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-23,https://m.media-amazon.com/images/I/719sf-DtkvL._AC_UL320_.jpg,₹999,₹399,4.1,"152,175",30/04/2021
boAt Bassheads 102 in Ear Wired Earphones with Mic(Jazzy Blue),https://www.amazon.in/BassHeads-102-Earphones-Multi-Function-Microphone/dp/B07S6NT9V7/ref=sr_1_24?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-24,https://m.media-amazon.com/images/I/61JtJL6Q9oL._AC_UL320_.jpg,"₹1,290",₹399,4.2,"20,891",01/05/2021
"boAt BassHeads 100 Chennai Super Kings Edition in-Ear Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired Design and Perfect Length Cable (CSK Black)",https://www.amazon.in/Chennai-Super-Bassheads-100-Earphone/dp/B07Q9CZCDW/ref=sr_1_25?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-25,https://m.media-amazon.com/images/I/61ps647J0SL._AC_UL320_.jpg,"₹1,499",₹349,4.1,"152,175",01/05/2021
realme Buds Classic Wired Earphones with HD Microphone Black,https://www.amazon.in/realme-Classic-Wired-Earphones-Microphone/dp/B08G28Z33M/ref=sr_1_26?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-26,https://m.media-amazon.com/images/I/7123d26rFxL._AC_UL320_.jpg,₹699,₹399,4.1,"11,542",30/04/2021
OnePlus Buds Z (Gray),https://www.amazon.in/OnePlus-Buds-Z-Gray/dp/B08HLVKCKC/ref=sr_1_27?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-27,https://m.media-amazon.com/images/I/51lTzQUZDEL._AC_UL320_.jpg,"₹3,190","₹2,999",4.2,"16,215",30/04/2021
"WeCool Moonwalk M1 True Wireless Earbuds (TWS) IPX 5 and Digital Display Charging Case, Bluetooth Earphones with Mic for Calls and HD Stereo Music",https://www.amazon.in/Moonwalk-M1-Wireless-Bluetooth-Earphones/dp/B08BY1G7N3/ref=sr_1_28?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-28,https://m.media-amazon.com/images/I/61DmRvjZCIL._AC_UL320_.jpg,"₹2,499",₹899,3.6,"11,417",01/05/2021
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Active Black)",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WM3RB8/ref=sr_1_29?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-29,https://m.media-amazon.com/images/I/61-1B-m03bL._AC_UL320_.jpg,"₹5,999","₹2,499",4.0,"51,329",30/04/2021
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black)",https://www.amazon.in/Tangent-Lite-Magnetic-Bluetooth-Headphones/dp/B085W8CFLH/ref=sr_1_30?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-30,https://m.media-amazon.com/images/I/51Bi92jvyDL._AC_UL320_.jpg,"₹1,800",₹649,3.6,"26,840",01/05/2021
OnePlus Buds Z (White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A0647685HHZP9AANBU5Y&url=%2FOnePlus-Buds-Z-White%2Fdp%2FB07XY541GH%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-31-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_btf_browse,https://m.media-amazon.com/images/I/51vwQzwM+ZL._AC_UL320_.jpg,"₹3,190","₹2,999",4.2,"16,215",30/04/2021
AIWA AT-X80E(Black) True Wireless Stereo Earphone with Mic,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A077140219HUQGB6FJ8F4&url=%2FAT-X80E-Black-Wireless-Stereo-Earphone%2Fdp%2FB0912VRC4K%2Fref%3Dsr_1_32_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-32-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_btf_browse,https://m.media-amazon.com/images/I/61jlHhBxqJL._AC_UL320_.jpg,"₹3,350","₹1,999",,"16,215",30/04/2021
OnePlus Buds (White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A077376713OCGD7N41QO6&url=%2FOnePlus-E501A-Buds-White%2Fdp%2FB08CVMXPGY%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-33-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_btf_browse,https://m.media-amazon.com/images/I/61IgqbMF98L._AC_UL320_.jpg,,"₹4,990",3.9,"11,915",30/04/2021
"Lumiford XploriaHD XP70 in-Ear Bluetooth Earphones with Smart Magnetic Control, Extra Bass Drivers, Long Battery Life with Comfortable Ear fit Design.",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A08500203VYM0Z0IJ49TR&url=%2FXploriaHD-XP70-Bluetooth-Earphones-Comfortable%2Fdp%2FB08R8JZ68X%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737907%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-26-spons%26psc%3D1&qualifier=1619737907&id=7881893794581349&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/51yowueMriL._AC_UL320_.jpg,"₹2,599","₹1,599",4.8,20,01/05/2021
"LUMIFORD Ultimate U20 in-Ear Wired Earphones with mic, 10mm Powerful Dynamic Drivers for Effective Bass, HD Sound, Durable Tangle Free Cable (Blue)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_electronics_sr_pg2_1?ie=UTF8&adId=A0914691XQGJXJPJM6D&url=%2FLUMIFORD-Ultimate-Earphones-Powerful-Effective%2Fdp%2FB08CY291TL%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737907%26rnid%3D1388921031%26s%3Delectronics%26smid%3DA14CZOWI0VEHLG%26sr%3D1-27-spons%26psc%3D1&qualifier=1619737907&id=7881893794581349&widgetName=sp_atf_browse,https://m.media-amazon.com/images/I/51lDuZNx4fL._AC_UL320_.jpg,₹699,₹299,4.0,787,30/04/2021
